track_name,artist_name,album_name,popularity,duration_ms,release_date,playlist_name,duration_minutes,release_year,popularity_category
Kesariya,Arijit Singh,Brahmastra,90,245000,2022-09-09,Bollywood & Global Mix,4.083333333333333,2022,High
Tum Hi Ho,Arijit Singh,Aashiqui 2,95,262000,2013-04-26,Bollywood & Global Mix,4.366666666666666,2013,High
Blinding Lights,The Weeknd,After Hours,98,200040,2020-03-20,Bollywood & Global Mix,3.334,2020,High
Shape of You,Ed Sheeran,Divide,97,233712,2017-01-06,Bollywood & Global Mix,3.8952,2017,High
Levitating,Dua Lipa,Future Nostalgia,91,203000,2020-03-27,Bollywood & Global Mix,3.3833333333333333,2020,High
Stay,The Kid LAROI,F*CK LOVE 3,92,141806,2021-07-09,Bollywood & Global Mix,2.3634333333333335,2021,High
Perfect,Ed Sheeran,Divide,93,263400,2017-03-03,Bollywood & Global Mix,4.39,2017,High
Believer,Imagine Dragons,Evolve,94,204346,2017-02-01,Bollywood & Global Mix,3.4057666666666666,2017,High
Senorita,Shawn Mendes,Shawn Mendes,89,191000,2019-06-21,Bollywood & Global Mix,3.183333333333333,2019,High
Dance Monkey,Tones and I,The Kids Are Coming,88,209438,2019-05-10,Bollywood & Global Mix,3.4906333333333333,2019,High
Raabta,Arijit Singh,Agent Vinod,86,242000,2012-03-02,Bollywood & Global Mix,4.033333333333333,2012,High
Apna Bana Le,Arijit Singh,Bhediya,87,230000,2022-11-25,Bollywood & Global Mix,3.8333333333333335,2022,High
Channa Mereya,Arijit Singh,Ae Dil Hai Mushkil,92,289000,2016-10-28,Bollywood & Global Mix,4.816666666666666,2016,High
Kalank Title Track,Arijit Singh,Kalank,84,312000,2019-04-17,Bollywood & Global Mix,5.2,2019,High
Phir Le Aya Dil,Arijit Singh,Barfi,82,260000,2012-09-14,Bollywood & Global Mix,4.333333333333333,2012,High
Sunflower,Post Malone,Hollywood's Bleeding,94,158040,2019-09-06,Bollywood & Global Mix,2.634,2019,High
Rockstar,Post Malone,Beerbongs & Bentleys,93,218000,2018-04-27,Bollywood & Global Mix,3.6333333333333333,2018,High
Happier,Marshmello,Joytime II,90,214000,2018-08-17,Bollywood & Global Mix,3.566666666666667,2018,High
Faded,Alan Walker,Different World,91,212000,2015-12-03,Bollywood & Global Mix,3.533333333333333,2015,High
Closer,The Chainsmokers,Collage,92,244960,2016-07-29,Bollywood & Global Mix,4.082666666666666,2016,High
Bad Guy,Billie Eilish,When We All Fall Asleep,94,194000,2019-03-29,Bollywood & Global Mix,3.2333333333333334,2019,High
Lovely,Billie Eilish,Dont Smile At Me,89,201000,2018-04-19,Bollywood & Global Mix,3.35,2018,High
Peaches,Justin Bieber,Justice,88,198000,2021-03-19,Bollywood & Global Mix,3.3,2021,High
Sorry,Justin Bieber,Purpose,90,200000,2015-10-23,Bollywood & Global Mix,3.3333333333333335,2015,High
Love Yourself,Justin Bieber,Purpose,89,233000,2015-11-13,Bollywood & Global Mix,3.8833333333333333,2015,High
Heat Waves,Glass Animals,Dreamland,92,238000,2020-06-29,Bollywood & Global Mix,3.966666666666667,2020,High
Industry Baby,Lil Nas X,Montero,91,212000,2021-07-23,Bollywood & Global Mix,3.533333333333333,2021,High
Old Town Road,Lil Nas X,7 EP,93,157000,2019-03-14,Bollywood & Global Mix,2.6166666666666667,2019,High
Montero,Lil Nas X,Montero,90,137000,2021-03-26,Bollywood & Global Mix,2.283333333333333,2021,High
Circles,Post Malone,Hollywood's Bleeding,94,215000,2019-08-30,Bollywood & Global Mix,3.5833333333333335,2019,High
Shivers,Ed Sheeran,Equals,90,207000,2021-09-10,Bollywood & Global Mix,3.45,2021,High
Bad Habits,Ed Sheeran,Equals,91,231000,2021-06-25,Bollywood & Global Mix,3.85,2021,High
Thinking Out Loud,Ed Sheeran,Multiply,92,281000,2014-06-20,Bollywood & Global Mix,4.683333333333334,2014,High
Photograph,Ed Sheeran,Multiply,88,258000,2014-06-20,Bollywood & Global Mix,4.3,2014,High
Galway Girl,Ed Sheeran,Divide,87,170000,2017-03-03,Bollywood & Global Mix,2.8333333333333335,2017,High
Attention,Charlie Puth,Voicenotes,89,208000,2018-05-11,Bollywood & Global Mix,3.466666666666667,2018,High
See You Again,Wiz Khalifa,Furious 7,93,229000,2015-03-10,Bollywood & Global Mix,3.816666666666667,2015,High
Counting Stars,OneRepublic,Native,90,257000,2013-06-14,Bollywood & Global Mix,4.283333333333333,2013,High
Apologize,OneRepublic,Dreaming Out Loud,85,208000,2007-11-20,Bollywood & Global Mix,3.466666666666667,2007,High
Secrets,OneRepublic,Waking Up,86,224000,2009-11-17,Bollywood & Global Mix,3.7333333333333334,2009,High
Viva La Vida,Coldplay,Viva La Vida,91,242000,2008-05-25,Bollywood & Global Mix,4.033333333333333,2008,High
Paradise,Coldplay,Mylo Xyloto,90,278000,2011-10-24,Bollywood & Global Mix,4.633333333333334,2011,High
Yellow,Coldplay,Parachutes,88,269000,2000-07-10,Bollywood & Global Mix,4.483333333333333,2000,High
Hymn For The Weekend,Coldplay,A Head Full of Dreams,89,258000,2016-01-25,Bollywood & Global Mix,4.3,2016,High
Adventure of a Lifetime,Coldplay,A Head Full of Dreams,87,263000,2015-11-06,Bollywood & Global Mix,4.383333333333334,2015,High
Let Her Go,Passenger,All the Little Lights,90,252000,2012-02-24,Bollywood & Global Mix,4.2,2012,High
Riptide,Vance Joy,Dream Your Life Away,88,204000,2013-03-22,Bollywood & Global Mix,3.4,2013,High
Ho Hey,The Lumineers,The Lumineers,85,163000,2012-04-03,Bollywood & Global Mix,2.716666666666667,2012,High
Take Me To Church,Hozier,Hozier,92,241000,2013-09-13,Bollywood & Global Mix,4.016666666666667,2013,High
Someone You Loved,Lewis Capaldi,Divinely Uninspired,94,182000,2018-11-08,Bollywood & Global Mix,3.033333333333333,2018,High
